"month","total_samples","sequenced_samples"
2003-03-01,1,0
2006-06-01,1,0
2006-08-01,1,0
2007-08-01,1,0
2008-01-01,1,0
2008-02-01,2,0
2008-05-01,1,0
2008-06-01,4,0
2008-07-01,1,0
2008-09-01,1,0
2008-11-01,1,0
2009-04-01,1,0
2009-05-01,2,0
2009-08-01,6,0
2009-11-01,2,0
2009-12-01,2,0
2010-01-01,1,0
2010-06-01,1,0
2010-07-01,2,0
2010-08-01,3,0
2010-09-01,1,0
2010-11-01,1,0
2011-03-01,1,0
2011-06-01,3,0
2011-07-01,6,0
2011-08-01,3,0
2011-09-01,2,0
2011-12-01,1,0
2012-01-01,1,0
2012-03-01,1,0
2012-04-01,2,0
2012-05-01,6,0
2012-06-01,6,0
2012-07-01,3,0
2012-08-01,2,0
2012-09-01,2,0
2012-10-01,1,0
2012-11-01,11,0
2012-12-01,7,0
2013-01-01,3,0
2013-02-01,2,0
2013-03-01,5,0
2013-04-01,3,0
2013-05-01,5,0
2013-06-01,4,0
2013-07-01,3,0
2013-08-01,5,0
2013-09-01,6,0
2013-10-01,3,0
2013-11-01,4,0
2013-12-01,1,0
2014-01-01,10,0
2014-02-01,3,0
2014-03-01,6,0
2014-04-01,19,0
2014-05-01,29,0
2014-06-01,18,0
2014-07-01,13,0
2014-08-01,10,0
2014-09-01,15,0
2014-10-01,6,0
2014-11-01,12,0
2014-12-01,5,0
2015-01-01,7,0
2015-02-01,9,0
2015-03-01,25,0
2015-04-01,15,0
2015-05-01,22,0
2015-06-01,23,0
2015-07-01,23,0
2015-08-01,19,0
2015-09-01,23,0
2015-10-01,22,0
2015-11-01,19,0
2015-12-01,26,0
2016-01-01,23,0
2016-02-01,16,0
2016-03-01,26,0
2016-04-01,23,0
2016-05-01,40,0
2016-06-01,28,0
2016-07-01,40,0
2016-08-01,29,0
2016-09-01,33,0
2016-10-01,20,0
2016-11-01,17,0
2016-12-01,18,0
2017-01-01,21,0
2017-02-01,10,0
2017-03-01,20,0
2017-04-01,17,0
2017-05-01,31,0
2017-06-01,27,0
2017-07-01,28,0
2017-08-01,22,0
2017-09-01,22,0
2017-10-01,19,0
2017-11-01,22,0
2017-12-01,14,0
2018-01-01,21,0
2018-02-01,16,0
2018-03-01,36,0
2018-04-01,25,0
2018-05-01,25,0
2018-06-01,18,0
2018-07-01,22,0
2018-08-01,21,0
2018-09-01,22,0
2018-10-01,7,0
2018-11-01,16,0
2018-12-01,17,0
2019-01-01,17,1
2019-02-01,17,0
2019-03-01,22,2
2019-04-01,36,2
2019-05-01,33,2
2019-06-01,37,3
2019-07-01,34,1
2019-08-01,46,3
2019-09-01,36,1
2019-10-01,20,0
2019-11-01,19,1
2019-12-01,18,1
2020-01-01,16,0
2020-02-01,19,1
2020-03-01,30,1
2020-04-01,46,1
2020-05-01,35,3
2020-06-01,59,5
2020-07-01,37,3
2020-08-01,48,1
2020-09-01,40,1
2020-10-01,40,1
2020-11-01,22,2
2020-12-01,32,2
2021-01-01,43,1
2021-02-01,40,2
2021-03-01,63,5
2021-04-01,58,4
2021-05-01,99,4
2021-06-01,91,5
2021-07-01,81,4
2021-08-01,52,3
2021-09-01,58,0
2021-10-01,61,2
2021-11-01,70,1
2021-12-01,48,0
2022-01-01,47,3
2022-02-01,61,1
2022-03-01,98,5
2022-04-01,100,4
2022-05-01,105,6
2022-06-01,127,6
2022-07-01,109,5
2022-08-01,90,4
2022-09-01,51,0
