"Variable","Estimate","StdError","Lower","Upper","p_value","Model","Significance","color_group","errorbar_min","errorbar_max"
"yearly_surface_pressure_2m_difference",0.000653679758251227,0.00035776635321296,-4.7542294046174e-05,0.00135490181054863,0.0695176918606965,"Lineage 1.1","Not Significant","Not Significant",1e-05,0.00135490181054863
"yearly_dewpoint_temperature_2m_difference",-8.00573745737654e-05,0.00035924949831618,-0.000784186391273478,0.000624071642125947,0.823935155575508,"Lineage 1.1","Not Significant","Not Significant",-0.000784186391273478,-1e-05
"yearly_temperature_2m_difference",-0.00048166922495462,0.000228389343781551,-0.00092931233876646,-3.40261111427799e-05,0.0364792177154453,"Lineage 1.1","Significant","Lineage 1.1",-0.00092931233876646,-1e-05
"yearly_total_precipitation_sum_difference",-0.000553884150827569,0.000229205678620979,-0.00100312728092469,-0.00010464102073045,0.0167767769160128,"Lineage 1.1","Significant","Lineage 1.1",-0.00100312728092469,-1e-05
"yearly_surface_pressure_2m_difference",-0.000594353959071718,0.000228731777951539,-0.00104266824385674,-0.000146039674286701,0.125238393973331,"Lineage 1.2","Not Significant","Not Significant",-0.00104266824385674,-1e-05
"yearly_dewpoint_temperature_2m_difference",-8.12590679086824e-06,2.35797158631925e-05,-5.43421498827256e-05,3.80903363009891e-05,0.764096569478926,"Lineage 1.2","Not Significant","Not Significant",-5.43421498827256e-05,-1e-05
"yearly_temperature_2m_difference",0.000243223511897917,9.12647345394517e-05,6.43446322005912e-05,0.000422102391595242,0.120215110269373,"Lineage 1.2","Not Significant","Not Significant",1e-05,0.000422102391595242
"yearly_total_precipitation_sum_difference",-3.72128997687767e-05,6.46272970506506e-05,-0.000163882401988052,8.94566024504985e-05,0.624389574615431,"Lineage 1.2","Not Significant","Not Significant",-0.000163882401988052,-1e-05
"yearly_surface_pressure_2m_difference",-0.000522896370660696,0.00174525383296851,-0.00394359388327897,0.00289780114195758,0.764858933678687,"Lineage 1.3","Not Significant","Not Significant",-0.00394359388327897,-1e-05
"yearly_dewpoint_temperature_2m_difference",0.00172089274176688,0.00150072076916391,-0.0012205199657944,0.00466230544932815,0.253194630674571,"Lineage 1.3","Not Significant","Not Significant",1e-05,0.00466230544932815
"yearly_temperature_2m_difference",-0.000111907160077511,0.000982532055008584,-0.00203766998789434,0.00181385566773931,0.909460930946858,"Lineage 1.3","Not Significant","Not Significant",-0.00203766998789434,-1e-05
"yearly_total_precipitation_sum_difference",0.000424225048234726,0.000364075523690227,-0.00028936297819812,0.00113781307466757,0.245648820420181,"Lineage 1.3","Not Significant","Not Significant",1e-05,0.00113781307466757
