"Variable","Estimate","StdError","Lower","Upper","p_value","Model","Significance","color_group","errorbar_min","errorbar_max"
"yearly_surface_pressure_2m_difference",0.00149712535779149,0.00141141388588514,-0.00126924585854339,0.00426349657412637,0.290376309902302,"Lineage 1.1","Not Significant","Not Significant",1e-05,0.00426349657412637
"yearly_dewpoint_temperature_2m_difference",-0.000759390537237051,0.00142999086333429,-0.00356217262937226,0.00204339155489815,0.596106870513343,"Lineage 1.1","Not Significant","Not Significant",-0.00356217262937226,-1e-05
"yearly_temperature_2m_difference",2.11910701522598e-05,0.00091825951637282,-0.00177859758193847,0.00182097972224299,0.981616615231386,"Lineage 1.1","Not Significant","Not Significant",1e-05,0.00182097972224299
"yearly_total_precipitation_sum_difference",-0.002906913082678,0.00091670880849843,-0.00470366234733492,-0.00111016381802108,0.00181374694872231,"Lineage 1.1","Significant","Lineage 1.1",-0.00470366234733492,-1e-05
"yearly_surface_pressure_2m_difference",-0.0715800459698884,0.049904801742042,-0.169393457384291,0.0262333654445138,0.235404943210748,"Lineage 1.2","Not Significant","Not Significant",-0.169393457384291,-1e-05
"yearly_dewpoint_temperature_2m_difference",0.0453737859958542,0.0363260031808254,-0.0258251802385635,0.116572752230272,0.289559079314046,"Lineage 1.2","Not Significant","Not Significant",1e-05,0.116572752230272
"yearly_temperature_2m_difference",0.0146625253541771,0.0137023806107742,-0.0121941406429404,0.0415191913512945,0.353565452884228,"Lineage 1.2","Not Significant","Not Significant",1e-05,0.0415191913512945
"yearly_total_precipitation_sum_difference",0.0021269682889913,0.00679038301570477,-0.0111821824217901,0.0154361189997727,0.772078477238331,"Lineage 1.2","Not Significant","Not Significant",1e-05,0.0154361189997727
"yearly_surface_pressure_2m_difference",-0.00257937458347989,0.00707188989200385,-0.0164402787718074,0.0112815296048476,0.715785554256164,"Lineage 1.3","Not Significant","Not Significant",-0.0164402787718074,-1e-05
"yearly_dewpoint_temperature_2m_difference",0.00359306595436571,0.00607012746640416,-0.00830438387978645,0.0154905157885179,0.554728074264626,"Lineage 1.3","Not Significant","Not Significant",1e-05,0.0154905157885179
"yearly_temperature_2m_difference",0.00257667993031185,0.00397212067673728,-0.00520867659609321,0.0103620364567169,0.517459481473834,"Lineage 1.3","Not Significant","Not Significant",1e-05,0.0103620364567169
"yearly_total_precipitation_sum_difference",0.00071477859433173,0.00147677587719663,-0.00217970212497367,0.00360925931363713,0.629032514466979,"Lineage 1.3","Not Significant","Not Significant",1e-05,0.00360925931363713
